code NSF,code scolarité,sigle type formation,libellé type formation,libellé formation principal,sigle formation,durée,niveau de sortie indicatif,code RNCP,niveau de certification,libellé niveau de certification,tutelle,URL et ID Onisep,domaine/sous-domaine
255,1702010R,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut des sciences et techniques des Yvelines de l'université de Versailles Saint-Quentin en Yvelines spécialité systèmes électroniques embarqués en partenariat avec l'ITII Ile de France,ISTY,3 ans,Bac + 5,34756.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6131,"mécanique/aéronautique | électricité, électronique, robotique/électronique | matières premières, fabrication, industries/fonction production (généralités) | informatique, Internet/informatique (généralités)"
255,,MSc,master of science,MSc Electrical and Optical Engineering (Télécom SudParis),,2 ans,Bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2961,"électricité, électronique, robotique/électronique"
255,,,diplôme d'ingénieur,diplôme d'ingénieur de l'université Paris-XIII spécialité télécommunications et réseaux,Sup Galilée,5 ans,Bac + 5,12851.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5581,"électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
310,25531001,,formation d'école spécialisée,Diplôme de premier cycle de l'université Paris-Dauphine mention gestion,,3 ans,Bac + 3,25254.0,2,niveau 6 (bac + 3),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7334,"gestion des entreprises, comptabilité/administration de l'entreprise"
323,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École supérieure d'ingénieurs Paris-Est de l'Université Gustave Eiffel spécialité multimédia et technologies de l'information,ESIPE UGE,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5627,"arts, culture, artisanat/arts graphiques | information-communication, audiovisuel/audiovisuel | information-communication, audiovisuel/communication | informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia"
323,,,formation d'école spécialisée,Diplôme supérieur des métiers du son du CNSMD de Paris,,4 ans,Bac + 5,,1,niveau 7 (bac + 5),Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.347,"arts, culture, artisanat/arts du spectacle | information-communication, audiovisuel/audiovisuel"
326,,mastère spé.,mastère spécialisé,mastère spé. Big Data : gestion et analyse de données massives (TELECOM Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2406,"informatique, Internet/bases de données | sciences/mathématiques"
326,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École d'ingénieurs Denis Diderot de l'université Paris Cité spécialité génie physique,EIDD,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.7817,"mécanique/aéronautique | électricité, électronique, robotique/électronique | matières premières, fabrication, industries/études et développement | informatique, Internet/informatique (généralités) | sciences/physique | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
326,,MSc,master of science,MSc Computer Science for Communication Networks (Télécom SudParis),,2 ans,Bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4156,"informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia | électricité, électronique, robotique/télécommunications"
326,17032601,,diplôme d'ingénieur,diplôme d'ingénieur de l'université Paris-XIII spécialité informatique,Sup Galilée,5 ans,Bac + 5,12854.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5677,"informatique, Internet/développement, programmation, logiciel | informatique, Internet/informatique (généralités) | informatique, Internet/systèmes et réseaux"
200,,,diplôme d'ingénieur,diplôme d'ingénieur de l'université Paris-XIII spécialité instrumentation,Sup Galilée,5 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5327,"électricité, électronique, robotique/électronique | santé, social, sport/santé (généralités)"
200,,mastère spé.,mastère spécialisé,mastère spé. Management de la qualité (Arts et Métiers ParisTech - ENSAM),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1254,"matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/maintenance, qualité"
200,,mastère spé.,mastère spécialisé,mastère spé. Supply Chain Design and Management (École des ponts ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2880,"logistique, transport/logistique"
200,1702010Z,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut des sciences et techniques des Yvelines de l'université de Versailles Saint-Quentin en Yvelines spécialité systèmes numériques pour l'industrie en partenariat avec l'ITII Ile de France,ISTY,3 ans,Bac + 5,38234.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6133,"mécanique/automatismes | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fonction production (généralités) | informatique, Internet/informatique industrielle et technologique | matières premières, fabrication, industries/maintenance, qualité | sciences/mathématiques | matières premières, fabrication, industries/méthodes industrialisation"
213,,mastère spé.,mastère spécialisé,"mastère spé. Forêt, nature et société - management international (AgroParisTech Campus de Montpellier et Nancy)",,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.775,"environnement, énergies, propreté/environnement (généralités) | agriculture, animaux/forêt"
220,,mastère spé.,mastère spécialisé,mastère spé. Design des matériaux et structures (Mines ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4591,"matières premières, fabrication, industries/matériaux | sciences/physique"
227,,mastère spé.,mastère spécialisé,mastère spé. Expert en sûreté nucléaire (Arts et Métiers ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2964,"environnement, énergies, propreté/déchets, pollutions et risques | environnement, énergies, propreté/énergies | armée, sécurité/sécurité, prévention"
227,17020025,,diplôme d'ingénieur,diplôme d'ingénieur de l'université Paris-XIII spécialité énergétique,Sup Galilée,3 ans,Bac + 5,12858.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6053,"environnement, énergies, propreté/énergies | construction, architecture, travaux publics/équipement technique"
231,17034101,,diplôme d'ingénieur,diplôme d'ingénieur de l'École des ingénieurs de la Ville de Paris spécialité génie urbain,EIVP,3 ans,Bac + 5,38094.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.8072,"environnement, énergies, propreté/aménagement du territoire | construction, architecture, travaux publics/architecture | environnement, énergies, propreté/environnement (généralités) | construction, architecture, travaux publics/génie civil | construction, architecture, travaux publics/génie civil, construction (généralités) | logistique, transport/transport | environnement, énergies, propreté/urbanisme"
232,,mastère spé.,mastère spécialisé,"mastère spé. BIM, conception intégrée et cycle de vie du bâtiment et des infrastructures (École des Ponts ParisTech)",,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4590,"matières premières, fabrication, industries/études et développement | construction, architecture, travaux publics/génie civil, construction (généralités) | sciences/physique"
250,,mastère spé.,mastère spécialisé,mastère spé. Manager de projet en infrastructures de recharge et véhicules électriques et autonomes (Arts et Métiers Paris - ENSTA - Mines Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2938,"gestion des entreprises, comptabilité/administration de l'entreprise | mécanique/automobile | électricité, électronique, robotique/électronique | électricité, électronique, robotique/électrotechnique | environnement, énergies, propreté/énergies | armée, sécurité/sécurité, prévention"
326,17032619,,diplôme d'ingénieur,diplôme d'ingénieur de CY Tech de CY Cergy Paris Université spécialité informatique,CY Tech,3 ans,Bac + 5,36424.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.7783,"mécanique/automatismes | informatique, Internet/bases de données | information-communication, audiovisuel/bibliothèque, documentation | informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | informatique, Internet/informatique de gestion | information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information"
326,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École d'ingénieurs Denis Diderot de l'université Paris Cité spécialité systèmes informatiques embarqués,EIDD,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.7815,"informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | matières premières, fabrication, industries/études et développement | sciences/mathématiques"
326,,mastère spé.,mastère spécialisé,"mastère spé. Conception, architecture de réseaux et cybersécurité (TELECOM Paris)",,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2071,"informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia | armée, sécurité/sécurité, prévention | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
326,,mastère spé.,mastère spécialisé,mastère spé. Cybersécurité et cyberdéfense (TELECOM Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.763,"armée, sécurité/défense publique | électricité, électronique, robotique/électronique | information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux"
326,,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut des sciences et techniques des Yvelines de l'université de Versailles Saint-Quentin en Yvelines spécialité informatique,ISTY,3 ans,Bac + 5,34743.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5625,"informatique, Internet/bases de données | informatique, Internet/développement, programmation, logiciel | informatique, Internet/informatique (généralités) | informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information"
326,17032612,,diplôme d'ingénieur,diplôme d'ingénieur de l'École supérieure d'ingénieurs de Paris Est (EPISEN exEsipe) Créteil de l'université Paris-Est Créteil Val-de-Marne spécialité systèmes d'information,ESIPE EPISEN,3 ans,Bac + 5,36689.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.7795,"informatique, Internet/bases de données | informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia | santé, social, sport/santé (généralités) | informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information | électricité, électronique, robotique/télécommunications"
326,,mastère spé.,mastère spécialisé,mastère spé. Intelligence artificielle (TELECOM Paris - ENSTA Paris),,1 an,Bac + 6,35701.0,1,niveau 7 (bac + 5),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3984,"mécanique/automatismes | informatique, Internet/informatique (généralités)"
326,,mastère spé.,mastère spécialisé,mastère spé. Architecte digital d'entreprise (TELECOM Paris),,1 an,Bac + 6,38293.0,1,niveau 7 (bac + 5),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2939,"informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
326,,mastère spé.,mastère spécialisé,mastère spé. Data Science (ENSAE Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2090,"informatique, Internet/bases de données | informatique, Internet/informatique (généralités) | information-communication, audiovisuel/technologies de l'information"
326,17032631,,diplôme d'ingénieur,diplôme d'ingénieur ESIEE IT - CCI Paris Ile de France Education,ESIEE IT,3 ans,Bac + 5,35837.0,1,niveau 7 (bac + 5),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.6950,"arts, culture, artisanat/arts graphiques | mécanique/automatismes | informatique, Internet/bases de données | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fonction production (généralités) | informatique, Internet/informatique (généralités) | sciences/mathématiques | information-communication, audiovisuel/multimédia | santé, social, sport/santé (généralités) | informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information"
331,36X33102,,formation d'école spécialisée,délégué pharmaceutique (Akalis - Collège de Paris),,1 an,Bac + 2,37056.0,3,niveau 5 (bac + 2),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8469,"santé, social, sport/paramédical"
227,,MSc,master of science,MSc Sustainable Energy Futures (ECE Paris),,2 ans,Bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7029,"environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités)"
227,,mastère spé.,mastère spécialisé,mastère spé. Management of Energy Projects - Designing and Implementing Innovative propositions for Energy Projects (Ecole des Ponts ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1786,"environnement, énergies, propreté/énergies | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel"
343,,mastère spé.,mastère spécialisé,mastère spé. Gestion de l'eau (AgroParisTech - Campus de Montpellier),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2168,"environnement, énergies, propreté/environnement (généralités) | environnement, énergies, propreté/gestion de l'eau"
343,,mastère spé.,mastère spécialisé,mastère spé. Politiques publiques et stratégies pour l'environnement (AgroParisTech - Campus de Paris-Saclay),PPSE,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.774,"environnement, énergies, propreté/aménagement du territoire | environnement, énergies, propreté/environnement (généralités) | économie, droit, politique/sciences politiques"
120,,CPGE,classe préparatoire économique et commerciale,"Classe préparatoire Economie et gestion option économie, méthodes quantitatives et gestion (ENS Paris-Saclay D2), 1re année",Saclay1-D2,1 an,Bac + 1,,0,non inscrit au RNCP,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5684,"gestion des entreprises, comptabilité/administration de l'entreprise | économie, droit, politique/droit (généralités) | économie, droit, politique/sciences économiques"
121,,mastère spé.,mastère spécialisé,"mastère spé. DeSIgeo, décision et systèmes d'information géolocalisée (ENSG - Géomatique - École des Ponts ParisTech - CNAM)",,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4551,"histoire-géographie, psychologie, sociologie/géographie | informatique, Internet/informatique (généralités) | information-communication, audiovisuel/technologies de l'information"
123,,,formation d'école spécialisée,Diplôme de premier cycle de l'université Paris-Dauphine mention sciences sociales,,3 ans,Bac + 3,25256.0,2,niveau 6 (bac + 3),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7339,"histoire-géographie, psychologie, sociologie/sciences humaines et sociales (généralités)"
133,,,formation d'école spécialisée,Diplôme de 1er cycle supérieur de notation du mouvement du CNSMD de Paris,,2 ans,Bac ou équivalent,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9351,"arts, culture, artisanat/arts du spectacle"
326,,mastère spé.,mastère spécialisé,mastère spé. Satellite Communication Systems : from Engineering to End-to-End Systems (ENSEEIHT - INP Toulouse - Télécom SudParis),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4232,"mécanique/aéronautique | électricité, électronique, robotique/télécommunications"
326,,mastère spé.,mastère spécialisé,mastère spé. Management des systèmes d'information en réseaux (ESSEC - TELECOM Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2927,"informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information"
326,,mastère spé.,mastère spécialisé,mastère spé. Réseaux et services (TELECOM SudParis),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2302,"informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
326,,MSc,master of science,MSc Management of Technology - Information Systems (ESIEE Paris),MOTIS,1 an,Bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2879,"information-communication, audiovisuel/technologies de l'information"
326,,mastère spé.,mastère spécialisé,mastère spé. Architecte réseaux et cybersécurité (ARC) (TELECOM Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2940,"électricité, électronique, robotique/électronique | armée, sécurité/sécurité, prévention | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
331,17033103,,diplôme d'ingénieur,diplôme d'ingénieur de l'École d'ingénieurs Denis Diderot de l'université Paris Cité spécialité génie biologique,EIDD,3 ans,Bac + 5,36672.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.7814,"sciences/biologie | informatique, Internet/informatique (généralités)"
133,,,formation d'école spécialisée,Diplôme de 2nd cycle supérieur de musique du CNSMD de Paris,,2 ans,Bac + 5,,1,niveau 7 (bac + 5),Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.3258,"arts, culture, artisanat/arts du spectacle"
133,,,formation d'école spécialisée,Diplôme municipal des Beaux-arts de Versailles,,3 ans,Bac + 3,,0,non inscrit au RNCP,Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.337,"arts, culture, artisanat/arts appliqués | arts, culture, artisanat/arts plastiques"
200,,mastère spé.,mastère spécialisé,mastère spé. Management stratégique de l'information et des technologies (HEC Paris - Mines ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4488,"gestion des entreprises, comptabilité/administration de l'entreprise | information-communication, audiovisuel/technologies de l'information"
200,,mastère spé.,mastère spécialisé,mastère spé. Management de l'innovation dans les agro-activités et les bio-industries (AgroParisTech - NEOMA BS),MASTERNOVA,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2371,"gestion des entreprises, comptabilité/administration de l'entreprise | matières premières, fabrication, industries/agroalimentaire | sciences/biologie | matières premières, fabrication, industries/fonction production (généralités)"
200,,mastère spé.,mastère spécialisé,mastère spé. Manager des risques (Arts et Métiers ParisTech - ENSAM - ESTP),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.643,"armée, sécurité/sécurité, prévention"
200,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École nationale supérieure des mines de Paris,IMT,3 ans,Bac + 5,12314.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.1442,"gestion des entreprises, comptabilité/administration de l'entreprise | mécanique/aéronautique | mécanique/automatismes | sciences/biologie | sciences/chimie | électricité, électronique, robotique/électronique | environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/fabrication, productique | logistique, transport/logistique | matières premières, fabrication, industries/matériaux | sciences/mathématiques | mécanique/mécanique (généralités) | matières premières, fabrication, industries/méthodes industrialisation | matières premières, fabrication, industries/mines et carrières | sciences/physique | sciences/sciences de la Terre | informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information | électricité, électronique, robotique/télécommunications"
227,,mastère spé.,mastère spécialisé,mastère spé. Ingénierie et gestion du gaz (Mines ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1737,"environnement, énergies, propreté/énergies"
227,17022707,,diplôme d'ingénieur,diplôme d'ingénieur de l'École nationale supérieure des mines de Paris en convention avec le CNAM spécialité énergétique en partenariat avec l'ISUPFERE,IMT,3 ans,Bac + 5,37668.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6235,"environnement, énergies, propreté/déchets, pollutions et risques | environnement, énergies, propreté/énergies | construction, architecture, travaux publics/génie civil, construction (généralités) | matières premières, fabrication, industries/maintenance, qualité"
230,,mastère spé.,mastère spécialisé,mastère spé. Aménagement et maîtrise d'ouvrage urbaine (École des Ponts ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1420,"environnement, énergies, propreté/aménagement du territoire | construction, architecture, travaux publics/génie civil"
231,1702300Q,,diplôme d'ingénieur,diplôme d'ingénieur de l'École supérieure d'ingénieurs des travaux de la construction de Paris,ESITC,5 ans,Bac + 5,36431.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.8058,"environnement, énergies, propreté/aménagement du territoire | construction, architecture, travaux publics/architecture | construction, architecture, travaux publics/génie civil | construction, architecture, travaux publics/génie civil, construction (généralités) | sciences/physique | construction, architecture, travaux publics/travaux publics | environnement, énergies, propreté/urbanisme"
310,,,diplôme d'école de commerce visé de niveau bac + 4 ou 5,Diplôme du programme grande école d'HEC Paris,,3 ans,Bac + 5,37128.0,1,niveau 7 (bac + 5),Chambre de commerce et d'industrie de Paris Île-de-France,https://www.onisep.fr/http/redirection/formation/slug/FOR.1188,"gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/marketing, vente"
310,16X31033,mastère spé.,mastère spécialisé,mastère spé. Expert en environnement et développement durable (Mines Paris),,1 an,Bac + 6,34196.0,1,niveau 7 (bac + 5),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3334,"gestion des entreprises, comptabilité/administration de l'entreprise | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/génie industriel"
311,,mastère spé.,mastère spécialisé,mastère spé. Smart Mobility - Transformation numérique des systèmes de mobilité (École des Ponts ParisTech - TELECOM Paris),,1 an,Bac + 6,37264.0,1,niveau 7 (bac + 5),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4133,"mécanique/automatismes | électricité, électronique, robotique/électronique | logistique, transport/transport"
,,CPI,cycle préparatoire intégré,Cycle préparatoire intégré EFREI Paris - Prépa biologie et numérique,EFREI,2 ans,Bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8868,"sciences/biologie | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | sciences/mathématiques | sciences/physique"
